"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Unidade","Multiplicador"
"1","PIB a preços correntes",,,,,,,,,,,,,,,,,,,,,,,,,"",""
"1.1","Série revisada","Abaiara",,,,,,,,,,,,"36543","50943","43079","50468","64718.03","66036.98","73672.27","92950.73","87933.28","94460.413","108504.904","117970.96","R$",1000
"1.1","Série revisada","Acarape",,,,,,,,,,,,"65662","78626","80292","102164","114160.73","118734.14","127927.18","150070.52","125558.87","142408.934","155395.736","179994.282","R$",1000
"1.1","Série revisada","Acaraú",,,,,,,,,,,,"327756","388168","415815","467824","523628.93","551030.69","581919.43","634059.78","567088.81","708009.901","838947.743","1020200.581","R$",1000
"1.1","Série revisada","Acopiara",,,,,,,,,,,,"213402","257300","262793","287937","334997.36","348629.42","376458.02","396747.88","389054.82","462561.984","515637.686","564519.851","R$",1000
"1.1","Série revisada","Aiuaba",,,,,,,,,,,,"51656","72017","67267","78557","93440.19","106084.54","101734.94","104668.09","112897.11","129381.586","151774.986","151596.307","R$",1000
"1.1","Série revisada","Alcântaras",,,,,,,,,,,,"37015","45163","45214","47742","59834.18","59305.66","59520.08","69284.10","76963.22","81662.915","91575.784","98201.759","R$",1000
"1.1","Série revisada","Altaneira",,,,,,,,,,,,"23342","28775","33982","37585","47453.66","43729.68","45369.51","53087.12","51200.12","58419.607","65821.7","74653.984","R$",1000
"1.1","Série revisada","Alto Santo",,,,,,,,,,,,"80559","86327","86036","105060","125513.88","129449.03","132992.80","145319.05","155350.72","182897.888","209107.674","232267.743","R$",1000
"1.1","Série revisada","Amontada",,,,,,,,,,,,"240831","298074","288676","285779","366321.49","318742.01","421866.48","431415.04","439712.01","516669.52","536470.512","665472.069","R$",1000
"1.1","Série revisada","Antonina do Norte",,,,,,,,,,,,"28053","33422","36463","41968","48522.10","47877.12","51626.38","57873.12","54721.40","64406.371","68907.426","78953.405","R$",1000
"1.1","Série revisada","Apuiarés",,,,,,,,,,,,"49057","55136","56220","66228","79514.27","86910.39","92827.33","114654.51","104222.69","113871.863","112397.459","120978.07","R$",1000
"1.1","Série revisada","Aquiraz",,,,,,,,,,,,"768348","877881","1087571","1548885","1651350.76","1828067.54","2157485.00","2205947.20","1932049.11","2632144.351","3375728.122","3854310.21","R$",1000
"1.1","Série revisada","Aracati",,,,,,,,,,,,"577081","709558","871921","990305","1084381.30","1162571.02","1217459.72","1275710.64","1137552.18","1406372.04","1479940.154","1706690.666","R$",1000
"1.1","Série revisada","Aracoiaba",,,,,,,,,,,,"98749","118202","119216","138521","161504.06","175638.78","190897.58","205049.26","200078.87","229871.488","262019.792","266421.718","R$",1000
"1.1","Série revisada","Ararendá",,,,,,,,,,,,"35048","44552","43566","47808","57693.15","60571.34","64807.55","78720.54","80502.86","84731.807","88850.512","106783.977","R$",1000
"1.1","Série revisada","Araripe",,,,,,,,,,,,"85919","99439","100588","121403","155186.36","150348.00","148354.99","161909.51","149592.52","170052.471","190607.411","207981.617","R$",1000
"1.1","Série revisada","Aratuba",,,,,,,,,,,,"68739","70954","70845","65219","82423.07","83742.97","93365.32","148414.98","131893.36","125472.29","157990.829","151644.922","R$",1000
"1.1","Série revisada","Arneiroz",,,,,,,,,,,,"30506","35038","33532","35319","42165.08","46164.80","50166.06","53341.66","55549.59","58791.919","66320.069","70223.605","R$",1000
"1.1","Série revisada","Assaré",,,,,,,,,,,,"86370","112069","113185","141881","177457.44","160024.55","151368.78","219084.72","167912.06","196574.749","273546.716","237259.073","R$",1000
"1.1","Série revisada","Aurora",,,,,,,,,,,,"97152","130042","119568","137710","166862.98","169293.03","175856.00","194773.27","190048.75","209640.806","214719.938","216792.136","R$",1000
"1.1","Série revisada","Baixio",,,,,,,,,,,,"22268","26539","26517","31240","37478.25","39911.23","41925.97","45672.62","57802.68","55414.353","64556.871","67540.636","R$",1000
"1.1","Série revisada","Banabuiú",,,,,,,,,,,,"83348","106386","95090","108874","128003.89","135281.16","142327.76","165115.65","163626.11","183515.009","209737.301","260030.93","R$",1000
"1.1","Série revisada","Barbalha",,,,,,,,,,,,"464715","508696","590900","578694","728017.02","707852.68","854807.61","926509.82","873316.07","1057318.526","1198002.717","1345204.816","R$",1000
"1.1","Série revisada","Barreira",,,,,,,,,,,,"79705","94907","142380","111136","124662.92","135582.11","145794.72","164954.32","161614.29","183367.815","206859.026","240015.846","R$",1000
"1.1","Série revisada","Barro",,,,,,,,,,,,"94975","99156","105250","121567","141029.39","149081.61","156146.55","179640.53","177369.70","194427.371","223902.004","242027.169","R$",1000
"1.1","Série revisada","Barroquinha",,,,,,,,,,,,"57700","66529","71780","78006","92031.79","96716.65","96979.59","102556.40","102923.36","110077.74","123789.449","133335.168","R$",1000
"1.1","Série revisada","Baturité",,,,,,,,,,,,"196688","223883","219063","237707","335146.22","327536.41","298090.72","368449.67","339484.88","390762.808","417281.305","448272.412","R$",1000
"1.1","Série revisada","Beberibe",,,,,,,,,,,,"328009","419741","428009","499228","581926.24","621283.29","632728.39","798724.34","745424.91","873849.285","956496.853","1059005.89","R$",1000
"1.1","Série revisada","Bela Cruz",,,,,,,,,,,,"105038","125427","132879","150927","167162.00","187225.00","205274.85","239169.17","244723.88","268137.012","268263.731","322243.971","R$",1000
"1.1","Série revisada","Boa Viagem",,,,,,,,,,,,"230697","275148","206318","285693","337438.20","345382.45","368212.55","404588.51","395707.05","469722.898","508265.832","539217.993","R$",1000
"1.1","Série revisada","Brejo Santo",,,,,,,,,,,,"246828","315626","307111","334378","539086.49","593571.67","686691.64","591211.45","515258.58","677365.065","709051.121","817034.098","R$",1000
"1.1","Série revisada","Camocim",,,,,,,,,,,,"377211","399157","542984","450700","536578.28","545100.90","613524.02","663652.18","589611.06","718818.678","737463.191","839500.311","R$",1000
"1.1","Série revisada","Campos Sales",,,,,,,,,,,,"121510","142526","148208","171344","199452.30","199436.57","201418.95","225832.89","201809.79","267501.245","309895.355","292357.305","R$",1000
"1.1","Série revisada","Canindé",,,,,,,,,,,,"364415","431699","440712","458613","566151.01","615599.02","643018.35","713727.23","655466.77","888884.82","882667.925","911356.214","R$",1000
"1.1","Série revisada","Capistrano",,,,,,,,,,,,"69708","84911","78193","87922","111955.78","110870.17","113573.79","148378.71","178073.76","154908.79","190413.673","176808.988","R$",1000
"1.1","Série revisada","Caridade",,,,,,,,,,,,"71756","83329","80672","82660","101595.33","111431.10","116149.44","126878.14","129629.02","154519.157","181529.365","186168.87","R$",1000
"1.1","Série revisada","Cariré",,,,,,,,,,,,"68506","77109","78563","86581","99224.28","110726.69","119520.15","141114.64","155242.89","163447.139","175185.259","193104.647","R$",1000
"1.1","Série revisada","Caririaçu",,,,,,,,,,,,"100203","110101","110841","130863","155774.89","156561.11","177431.92","199735.21","205794.95","209969.492","248329.973","253126.605","R$",1000
"1.1","Série revisada","Cariús",,,,,,,,,,,,"67280","74999","69583","81832","107208.98","104195.27","129647.07","138687.23","141766.26","144539.238","164687.815","180984.361","R$",1000
"1.1","Série revisada","Carnaubal",,,,,,,,,,,,"63877","80335","80918","89526","102348.16","96757.89","108308.08","119643.62","121778.55","131300.263","153577.015","166771.753","R$",1000
"1.1","Série revisada","Cascavel",,,,,,,,,,,,"477434","521580","580004","640554","777587.65","822905.27","874539.82","896071.12","751069.29","919612.368","958315.387","1074376.745","R$",1000
"1.1","Série revisada","Catarina",,,,,,,,,,,,"58323","65562","66068","77238","90472.07","98350.98","104170.90","111490.83","121875.61","118973.076","139920.572","154108.256","R$",1000
"1.1","Série revisada","Catunda",,,,,,,,,,,,"44941","62925","49841","62428","77222.19","76508.38","81492.08","85801.49","82304.62","113082.626","104549.881","112081.35","R$",1000
"1.1","Série revisada","Caucaia",,,,,,,,,,,,"2842606","3283060","3853817","4750602","5582491.36","5743008.00","5443796.42","5862516.12","5069517.15","6915884.41","7171082.071","10414372.934","R$",1000
"1.1","Série revisada","Cedro",,,,,,,,,,,,"104132","117748","123380","133563","166772.42","171301.80","184395.15","187813.56","186985.84","205686.892","224930.288","247324.611","R$",1000
"1.1","Série revisada","Chaval",,,,,,,,,,,,"47895","52678","58543","65653","73707.78","75915.24","81616.35","92311.22","84011.60","95474.153","101907.392","110317.62","R$",1000
"1.1","Série revisada","Choró",,,,,,,,,,,,"44039","54829","52844","58757","69800.31","71054.02","73022.20","83642.78","82146.04","124552.517","176740.797","178988.78","R$",1000
"1.1","Série revisada","Chorozinho",,,,,,,,,,,,"94614","102721","94109","111909","128138.79","132402.91","139147.63","268126.07","357096.10","287660.061","337759.409","260273.272","R$",1000
"1.1","Série revisada","Coreaú",,,,,,,,,,,,"80538","87186","92051","105188","119973.09","127735.27","134921.32","150373.18","151087.53","175911.889","191954.323","225089.749","R$",1000
"1.1","Série revisada","Crateús",,,,,,,,,,,,"379567","456132","441345","479661","618321.63","627712.26","666758.77","745345.13","700368.39","852098.248","893114.504","952648.777","R$",1000
"1.1","Série revisada","Crato",,,,,,,,,,,,"985410","1014068","1092835","1180605","1419549.49","1419884.41","1512879.33","1537775.27","1377806.58","1759506.397","1723582.872","1871586.579","R$",1000
"1.1","Série revisada","Croatá",,,,,,,,,,,,"68154","80077","75486","93684","100560.83","100813.71","116341.20","131524.95","142074.94","179296.115","206457.381","224436.588","R$",1000
"1.1","Série revisada","Cruz",,,,,,,,,,,,"92645","104786","112940","124806","143382.24","172982.37","190952.98","229864.50","228764.45","285697.381","291984.477","372661.721","R$",1000
