"Posição","Nome","Localidade","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Unidade","Multiplicador"
"1","Taxa de mortalidade infantil","Abaiara","30.61","32.52","21.9","15.15","13.89","6.62","19.35","17.24","14.81","21.58","33.33","-","-","6.85","19.87","20.41","6.71","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Acarape","14.08","9.57","13.89","8.03","18.78","15.38","16.53","20.58","16.88","-","30.97","14.56","40.2","18.6","5.35","21.16","10.87","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Acaraú","20.43","15.33","7.25","15.28","13.79","13.49","11.45","17.56","8.3","15.4","22.77","8.81","17.08","14.88","5.92","9.28","2.06","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Acopiara","28.71","24.23","22.96","22.93","13.62","11.73","9.12","17.3","12.68","4.77","13.7","19.54","13.58","6.63","20.18","10.87","11.56","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Aiuaba","28.34","19.53","10","13.22","35.4","25.51","18.96","12.5","12.82","29.59","5.81","10.87","15.54","11.43","15.08","24.54","18.4","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Alcântaras","15.71","42.17","-","-","36.81","23.08","25.81","-","13.79","7.94","25.42","-","21.28","6.76","-","26.14","-","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Altaneira","9.8","19.05","10.99","42.55","11.36","31.25","33.33","32.61","21.51","9.01","8.93","8.85","-","-","9.43","9.01","16.67","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Alto Santo","30.3","17.7","15.71","5.15","5.49","14.08","15","16.95","10.58","23.04","18.43","27.78","5.15","5.62","12.12","26.6","5.62","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Amontada","18.01","15.69","12.36","17.17","17.39","8.5","17.05","11.83","22.33","14.14","7.26","11.08","11.86","8.58","8.72","22.02","9.12","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Antonina do Norte","-","7.14","35.71","-","16","16.53","26.79","17.86","20.2","-","25.32","31.25","27.52","9.71","11.11","-","-","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Apuiarés","5.35","15.87","25.48","11.17","13.79","5.62","13.89","6.62","20.27","19.74","15.04","19.74","-","11.11","-","-","14.39","óbitos por mil nascidos vivos",1
