"Posição","Nome","Localidade","2005","2007","2009","2011","2013","2015","2017","2019","2021","Unidade","Multiplicador"
"1","Índice de Desenvolvimento da Educação Básica",,,,,,,,,,,"",""
"1.1","Ensino fundamental",,,,,,,,,,,"",""
"1.1.1","Anos iniciais",,,,,,,,,,,"",""
"1.1.1.1","Pública","Abaiara","3.5","3.5","6.5","5.8","7.1","5.5","5.8","6.1","5.6","",""
"1.1.1.1","Pública","Acarape","2.6","3.0","3.1","4.1","3.9","5.4","5.4","5.4","5.5","",""
"1.1.1.1","Pública","Acaraú","3.4","3.7","4.0","4.8","4.5","5.3","6.3","6.5","5.7","",""
"1.1.1.1","Pública","Acopiara","2.8","3.5","4.4","4.8","5.0","6.0","6.0","6.0","5.5","",""
"1.1.1.1","Pública","Aiuaba","4.4","3.9","4.6","5.4","6.0","5.8","6.1","6.8","5.6","",""
"1.1.1.1","Pública","Alcântaras","2.7","3.4","4.0","4.9","6.9","7.0","7.3","7.3","7.1","",""
"1.1.1.1","Pública","Altaneira","3.1","5.2","3.7","4.8","5.9","7.1","7.1","6.5","6.7","",""
"1.1.1.1","Pública","Alto Santo","-","4.1","4.7","4.8","4.9","6.1","5.4","6.0","6.8","",""
"1.1.1.1","Pública","Amontada","3.2","3.4","4.3","4.6","4.8","5.7","5.7","5.8","5.5","",""
"1.1.1.1","Pública","Antonina do Norte","2.8","3.4","3.9","4.5","5.1","6.5","5.7","7.3","6.5","",""
"1.1.1.1","Pública","Apuiarés","3.3","3.6","3.7","4.8","4.4","5.3","5.3","5.7","5.7","",""
"1.1.1.1","Pública","Aquiraz","2.5","2.9","4.0","4.9","5.4","4.9","5.6","6.0","5.7","",""
"1.1.1.1","Pública","Aracati","3.3","3.8","4.1","4.8","4.8","5.7","6.1","6.1","6.2","",""
"1.1.1.1","Pública","Aracoiaba","2.7","3.3","3.6","3.9","4.3","5.1","5.6","5.2","5.4","",""
"1.1.1.1","Pública","Ararendá","3.0","3.4","3.6","4.7","5.1","7.2","8.3","8.3","9.5","",""
"1.1.1.1","Pública","Araripe","2.6","3.6","4.4","4.5","5.0","5.9","6.0","5.9","5.7","",""
"1.1.1.1","Pública","Aratuba","3.2","4.0","3.9","5.1","5.4","6.1","5.9","5.7","5.9","",""
"1.1.1.1","Pública","Arneiroz","3.8","3.8","3.4","4.5","4.3","5.8","5.4","5.7","5.2","",""
"1.1.1.1","Pública","Assaré","3.2","3.5","3.7","4.5","4.9","5.8","6.0","6.3","5.7","",""
"1.1.1.1","Pública","Aurora","3.5","3.1","3.4","3.5","4.4","4.9","5.2","5.0","5.4","",""
"1.1.1.1","Pública","Baixio","2.8","3.0","3.5","4.0","5.1","4.7","5.5","4.8","5.1","",""
"1.1.1.1","Pública","Banabuiú","2.5","3.2","4.2","4.8","5.0","5.5","5.7","5.7","4.9","",""
"1.1.1.1","Pública","Barbalha","3.0","3.9","3.9","4.8","5.0","5.8","6.2","6.2","5.6","",""
"1.1.1.1","Pública","Barreira","2.6","3.2","3.5","4.6","5.1","5.8","5.9","6.0","5.7","",""
"1.1.1.1","Pública","Barro","3.3","3.2","3.7","3.8","4.6","5.3","5.3","5.6","5.7","",""
"1.1.1.1","Pública","Barroquinha","2.8","3.4","4.0","4.9","5.0","5.6","7.2","7.4","7.7","",""
"1.1.1.1","Pública","Baturité","2.5","3.0","3.5","4.3","4.7","4.6","5.0","5.5","5.5","",""
"1.1.1.1","Pública","Beberibe","3.3","3.0","4.7","5.3","5.4","5.5","6.3","6.0","6.2","",""
"1.1.1.1","Pública","Bela Cruz","3.8","3.5","4.4","5.2","5.3","5.6","6.6","6.5","5.8","",""
"1.1.1.1","Pública","Boa Viagem","2.4","3.8","4.1","4.4","4.5","5.2","5.6","5.3","5.8","",""
"1.1.1.1","Pública","Brejo Santo","2.9","3.0","4.7","5.9","7.2","8.1","7.9","6.1","6.4","",""
"1.1.1.1","Pública","Camocim","3.6","4.0","4.4","4.6","4.9","5.8","6.6","6.7","6.5","",""
"1.1.1.1","Pública","Campos Sales","2.9","3.5","3.7","5.1","4.9","5.5","5.9","6.6","5.4","",""
"1.1.1.1","Pública","Canindé","3.1","3.5","3.9","4.3","4.6","5.1","5.2","6.4","6.0","",""
"1.1.1.1","Pública","Capistrano","3.3","3.2","3.4","4.0","3.9","5.4","5.7","5.4","5.0","",""
"1.1.1.1","Pública","Caridade","3.0","3.0","3.6","4.7","4.2","4.8","5.5","5.5","5.5","",""
"1.1.1.1","Pública","Cariré","3.1","3.0","4.0","5.6","7.4","6.6","7.2","6.8","6.6","",""
"1.1.1.1","Pública","Caririaçu","2.4","2.8","3.7","4.2","4.8","5.5","5.4","6.0","5.5","",""
"1.1.1.1","Pública","Cariús","3.3","3.5","4.3","4.5","4.8","5.7","5.9","5.5","6.2","",""
"1.1.1.1","Pública","Carnaubal","3.3","3.0","4.0","5.2","6.2","5.7","5.7","6.9","6.0","",""
"1.1.1.1","Pública","Cascavel","3.3","2.9","3.7","4.8","4.9","5.4","6.5","6.7","6.4","",""
"1.1.1.1","Pública","Catarina","3.1","3.6","4.4","4.2","5.1","5.8","5.6","6.0","5.8","",""
"1.1.1.1","Pública","Catunda","3.5","4.4","4.0","4.2","4.8","6.4","8.2","8.2","8.8","",""
"1.1.1.1","Pública","Caucaia","3.2","3.9","3.9","4.3","4.4","5.0","5.1","5.2","5.3","",""
"1.1.1.1","Pública","Cedro","2.5","3.0","3.4","4.0","3.9","5.0","5.5","5.7","5.9","",""
"1.1.1.1","Pública","Chaval","2.8","3.4","3.8","3.9","4.9","5.2","5.9","6.3","5.9","",""
"1.1.1.1","Pública","Choró","2.8","3.3","3.9","4.3","4.9","5.5","5.4","5.7","5.7","",""
"1.1.1.1","Pública","Chorozinho","2.5","2.9","3.4","3.8","4.7","5.5","6.0","6.4","6.4","",""
